,anglePer,blockN,colorPer,correct,highDim,highDimCoh,irrDim,irrDimCoh,lineCoh,lineDir,angleOption,lowDim,lowDimCoh,response,rxtime,subj,isHighCorrect,isLowCorrect,lineOption,Unnamed: 19,rt,stim,subj_idx,cond,cond2
113,0.7,1,0.3,0,1,1,2,2,0.6,2,1,3,2,1,1.3162,1,0,1,2,,1.3162,13,0,122,12
114,0.42,1,0.42,0,1,1,3,1,0.4,1,2,2,1,2,2.7658,1,1,0,1,,2.7658,12,0,111,11
115,0.3,1,0.7,1,1,1,2,2,0.6,2,2,3,2,3,3.1492,1,1,1,2,,3.1492,13,0,122,12
116,0.3,1,0.7,0,1,2,2,2,0.7,2,2,3,2,2,2.2159999999999997,1,1,0,2,,2.2159999999999997,13,0,222,22
117,0.3,1,0.7,1,1,2,3,2,0.3,1,2,2,2,3,1.4329,1,1,1,1,,1.4329,12,0,222,22
118,0.58,1,0.42,1,1,1,2,1,0.6,2,1,3,1,3,1.5496,1,1,1,2,,1.5496,13,0,111,11
119,0.42,1,0.7,1,1,1,3,1,0.4,1,2,2,2,3,1.4333,1,1,1,1,,1.4333,12,0,112,12
120,0.42,1,0.7,0,1,2,2,2,0.7,2,2,3,1,2,1.8161,1,1,0,2,,1.8161,13,0,221,21
121,0.58,1,0.3,1,1,1,3,1,0.4,1,1,2,2,3,0.9500799999999999,1,1,1,1,,0.9500799999999999,12,0,112,12
122,0.42,1,0.58,1,1,2,3,1,0.3,1,2,2,1,3,1.3163,1,1,1,1,,1.3163,12,0,211,21
123,0.3,1,0.58,0,1,2,3,2,0.3,1,2,2,1,2,1.1498,1,1,0,1,,1.1498,12,0,221,21
124,0.58,1,0.42,1,1,2,2,1,0.7,2,1,3,1,3,1.8829,1,1,1,2,,1.8829,13,0,211,21
125,0.7,1,0.7,1,1,1,2,2,0.6,2,1,3,2,3,1.1497,1,1,1,2,,1.1497,13,0,122,12
126,0.7,1,0.42,1,1,1,3,2,0.4,1,1,2,1,3,1.5997,1,1,1,1,,1.5997,12,0,121,11
127,0.7,1,0.58,1,1,1,2,1,0.6,2,1,3,2,3,1.2663,1,1,1,2,,1.2663,13,0,112,12
128,0.3,2,0.7,1,1,1,2,2,0.6,2,2,3,2,3,3.3463,1,1,1,2,,3.3463,13,0,122,12
129,0.3,2,0.3,1,1,1,3,2,0.4,1,2,2,2,3,1.5330000000000001,1,1,1,1,,1.5330000000000001,12,0,122,12
130,0.3,2,0.42,0,1,2,3,2,0.3,1,2,2,1,2,3.6987,1,1,0,1,,3.6987,12,0,221,21
131,0.3,2,0.3,1,1,2,3,2,0.3,1,2,2,2,3,1.7162,1,1,1,1,,1.7162,12,0,222,22
132,0.3,2,0.58,0,1,1,3,2,0.4,1,2,2,1,1,2.5494,1,0,1,1,,2.5494,12,0,121,11
133,0.42,2,0.3,1,1,1,2,2,0.6,2,2,3,1,3,1.3996,1,1,1,2,,1.3996,13,0,121,11
134,0.42,2,0.7,1,1,1,3,1,0.4,1,2,2,2,3,1.1998,1,1,1,1,,1.1998,12,0,112,12
135,0.7,2,0.7,0,1,2,2,2,0.7,2,1,3,2,1,1.2998,1,0,1,2,,1.2998,13,0,222,22
136,0.42,2,0.42,0,1,1,2,1,0.6,2,2,3,1,2,1.4662,1,1,0,2,,1.4662,13,0,111,11
137,0.7,2,0.3,0,1,2,2,2,0.7,2,1,3,2,1,2.7159,1,0,1,2,,2.7159,13,0,222,22
138,0.58,2,0.3,1,1,1,3,1,0.4,1,1,2,2,3,3.3158,1,1,1,1,,3.3158,12,0,112,12
139,0.42,2,0.42,0,1,2,2,1,0.7,2,2,3,1,2,1.3495,1,1,0,2,,1.3495,13,0,211,21
140,0.58,2,0.3,0,1,1,2,2,0.6,2,1,3,1,1,2.1827,1,0,1,2,,2.1827,13,0,121,11
141,0.3,2,0.3,1,1,2,2,2,0.7,2,2,3,2,3,2.5659,1,1,1,2,,2.5659,13,0,222,22
142,0.3,2,0.3,1,1,2,3,2,0.3,1,2,2,2,3,1.9999,1,1,1,1,,1.9999,12,0,222,22
143,0.42,2,0.58,1,1,2,3,1,0.3,1,2,2,1,3,1.1663,1,1,1,1,,1.1663,12,0,211,21
144,0.7,2,0.58,1,1,2,2,1,0.7,2,1,3,2,3,1.1829,1,1,1,2,,1.1829,13,0,212,22
145,0.58,2,0.7,1,1,2,3,1,0.3,1,1,2,2,3,0.74998,1,1,1,1,,0.74998,12,0,212,22
146,0.7,2,0.42,1,1,2,2,1,0.7,2,1,3,2,3,0.8830399999999999,1,1,1,2,,0.8830399999999999,13,0,212,22
147,0.42,2,0.42,1,1,2,2,1,0.7,2,2,3,1,3,2.4825,1,1,1,2,,2.4825,13,0,211,21
148,0.58,2,0.7,1,1,2,3,1,0.3,1,1,2,2,3,0.83326,1,1,1,1,,0.83326,12,0,212,22
149,0.7,2,0.3,1,1,2,3,2,0.3,1,1,2,2,3,0.78301,1,1,1,1,,0.78301,12,0,222,22
150,0.7,2,0.7,1,1,2,3,2,0.3,1,1,2,2,3,0.93311,1,1,1,1,,0.93311,12,0,222,22
